87.09,71.9,61.71,55.7,0
80.99,75.26,73.95,75.17,1
84.32,78.95,74.49,75.2,2
85.09,84.44,84.99,72.04,3
80.94,78.32,86.27,78.39,4
85.86,80.04,77.83,82.35,5
88.12,85.22,83.95,77.85,6
84.11,80.66,83.93,83.01,7
89.39,83.45,87.2,79.34,8
90.28,84.71,88.46,85.54,9
86.22,82.84,89.08,80.81,10
86.17,82.31,89.8,81.65,11
90.87,86.98,89.07,83.6,12
89.94,89.03,90.96,86.01,13
90.49,86.52,91.04,81.87,14
91.11,86.64,92.06,88.08,15
88.51,88.69,88.26,85.77,16
89.61,86.85,90.86,85.36,17
90.08,84.25,90.32,83.02,18
93.07,91.22,88.26,89.69,19
91.26,89.63,89.33,88.29,20
89.08,87.74,84.48,88.01,21
90.2,89.19,91.24,86.69,22
91.6,89.54,90.75,81.62,23
92.64,89.69,89.45,85.46,24
93.09,89.69,92.16,89.18,25
91.84,90.62,91.9,90.91,26
94.19,91.99,89.4,90.91,27
94.06,89.26,90.45,84.48,28
90.03,84.18,90.07,87.41,29
94.92,91.33,91.71,87.41,30
94.06,93.32,93.65,88.81,31
94.06,92.78,90.95,87.17,32
94.21,92.97,90.64,88.12,33
94.36,94.04,94.35,87.51,34
95.48,94.4,95.17,87.45,35
94.53,89.78,93.6,85.03,36
95.63,91.65,90.65,84.45,37
94.77,93.06,93.24,87.51,38
94.68,93.48,92.85,87.45,39
96.07,94.15,94.7,90.88,40
94.45,90.37,92.7,91.69,41
93.82,90.55,93.66,90.54,42
94.75,93.7,91.06,91.9,43
95.38,92.63,91.36,90.81,44
93.99,92.07,94.7,92.04,45
96.16,89.85,93.52,86.15,46
95.41,94.19,90.84,91.15,47
96.8,93.55,94.18,78.5,48
96.28,94.77,94.8,92.24,49
96.51,95.51,95.62,92.38,50
96.04,95.29,95.52,93.16,51
96.43,95.35,95.21,92.45,52
95.95,95.39,95.76,92.45,53
95.95,95.67,95.71,92.31,54
96.19,95.7,96.17,92.24,55
95.48,95.35,95.76,90.95,56
96.19,95.72,95.85,91.02,57
95.95,95.69,95.23,90.17,58
95.72,95.07,96.07,90.95,59
95.72,95.25,95.52,90.23,60
96.19,96.04,95.78,90.95,61
95.63,94.95,96.29,91.09,62
95.63,94.87,95.92,91.02,63
96.28,95.13,95.2,92.38,64
95.95,95.51,95.37,90.95,65
95.72,95.15,94.97,92.31,66
96.34,95.5,96.08,91.02,67
95.72,95.56,95.61,90.74,68
95.63,94.81,95.76,90.74,69
96.11,95.45,95.93,90.23,70
95.63,95.19,95.37,91.59,71
95.63,94.95,96.55,90.88,72
95.87,95.66,95.52,90.88,73
96.58,95.96,96.65,91.02,74
96.11,95.8,96.32,90.81,75
96.11,95.6,96.08,90.88,76
96.19,95.76,96.08,90.88,77
95.72,95.66,96.08,90.81,78
95.72,95.66,96.0,90.88,79
