83.83,67.54,61.83,51.66,0
83.61,70.52,66.16,63.18,1
80.57,70.09,62.6,72.69,2
78.47,72.78,74.79,67.12,3
84.63,73.35,73.82,69.94,4
84.49,74.8,74.09,69.43,5
80.23,70.29,74.49,68.58,6
88.18,77.74,72.63,64.85,7
88.51,75.7,75.62,71.56,8
85.53,74.76,76.47,72.15,9
88.96,79.46,74.04,72.44,10
87.95,77.04,73.23,73.48,11
85.14,74.65,67.55,74.27,12
88.57,78.83,80.13,71.38,13
84.19,74.81,68.74,70.29,14
87.64,80.27,76.51,69.51,15
89.2,77.87,72.94,71.69,16
88.51,79.77,74.7,71.31,17
85.29,81.82,80.25,74.77,18
87.71,77.72,78.05,70.5,19
88.78,79.56,81.09,70.06,20
88.61,80.44,79.86,71.0,21
88.68,81.38,82.36,66.76,22
88.76,82.2,84.8,64.45,23
90.4,83.8,79.93,70.94,24
90.38,81.99,82.0,77.5,25
88.13,83.4,81.09,80.83,26
89.56,83.8,83.39,79.54,27
90.4,82.1,84.93,69.76,28
86.95,82.78,81.06,75.87,29
86.95,82.0,83.18,72.23,30
91.04,83.86,81.85,71.62,31
90.74,83.51,85.11,73.8,32
90.66,84.84,83.78,76.68,33
89.88,85.17,84.51,84.5,34
90.87,84.79,84.63,77.1,35
90.96,84.46,81.57,80.73,36
90.27,84.6,84.64,73.19,37
90.42,83.63,86.86,81.01,38
91.3,86.76,86.79,78.29,39
90.03,83.54,82.06,77.54,40
90.42,83.45,81.55,76.56,41
91.2,83.4,82.13,69.48,42
91.67,86.3,82.58,73.08,43
91.76,84.92,82.08,82.77,44
92.53,83.33,87.31,79.88,45
87.03,81.11,71.83,76.32,46
91.59,86.2,84.23,78.15,47
87.03,81.87,78.73,77.1,48
91.3,87.13,83.78,77.2,49
91.38,87.67,85.7,79.14,50
92.1,87.61,86.74,79.41,51
92.87,87.84,87.54,79.28,52
92.4,87.65,87.81,80.7,53
91.99,86.73,87.12,79.41,54
91.93,86.91,86.47,77.27,55
91.84,87.21,87.85,79.41,56
91.99,87.36,87.03,78.63,57
91.52,87.13,86.03,80.5,58
91.99,87.07,86.91,78.49,59
91.28,86.83,86.74,81.01,60
91.99,87.11,87.29,76.42,61
91.84,87.37,87.22,79.21,62
91.52,87.21,87.45,77.64,63
91.52,87.36,87.12,78.42,64
92.55,87.42,87.34,74.41,65
91.6,87.35,87.12,75.33,66
91.45,88.27,87.34,75.7,67
91.54,88.24,87.37,77.98,68
92.16,88.12,87.08,81.35,69
92.16,88.18,88.02,80.47,70
92.01,87.56,87.43,79.21,71
91.77,88.32,88.47,75.98,72
91.84,87.76,88.14,78.63,73
92.16,88.27,87.27,78.05,74
92.48,88.55,87.12,77.48,75
92.48,88.95,87.92,77.34,76
92.48,88.85,87.83,77.48,77
92.4,88.41,87.99,78.05,78
92.55,88.57,87.68,77.98,79
